"team","team_region","round","fte_prob","seed","crowd_prob","fte_ep","crowd_ep","delta","evoc"
"Oklahoma","West","R4",0.31965415,"2",0.096,47.9481225,14.4,33.5481225,10.7237965818334
"Michigan State","Midwest","R4",0.33937835,"2",0.151,50.9067525,22.65,28.2567525,9.58973003980837
"Virginia","Midwest","R8",0.51767831,"1",0.292,36.2374817,20.44,15.7974817,8.17801362871193
"Michigan State","Midwest","R8",0.59476162,"2",0.41,41.6333134,28.7,12.9333134,7.69223842975171
"Oklahoma","West","R8",0.53341957,"2",0.339,37.3393699,23.73,13.6093699,7.25950424002894
"Purdue","Midwest","R16",0.51862565,"5",0.072,15.5587695,2.16,13.3987695,6.94894554113768
"North Carolina","East","title",0.14878828,"1",0.079,93.7366164,49.77,43.9666164,6.54171723157579
"Virginia","Midwest","R4",0.30355732,"1",0.184,45.533598,27.6,17.933598,5.44387494683736
"Oklahoma","West","NCG",0.14193929,"2",0.026,44.0011799,8.06,35.9411799,5.10146555676827
"North Carolina","East","NCG",0.25826056,"1",0.202,80.0607736,62.62,17.4407736,4.50426395676921
"Michigan State","Midwest","NCG",0.17278542,"2",0.091,53.5634802,28.21,25.3534802,4.38071172481868
"Purdue","Midwest","R8",0.24470148,"5",0.02,17.1291036,1.4,15.7291036,3.84893492999333
"Virginia","Midwest","R16",0.80380925,"1",0.651,24.1142775,19.53,4.5842775,3.68488465906688
"Oregon","West","R8",0.44096311,"1",0.335,30.8674177,23.45,7.4174177,3.27080757716105
"Virginia Commonwealth","West","R32",0.73443704,"10",0.302,7.3443704,3.02,4.3243704,3.17597779643962
"North Carolina","East","R16",0.90607491,"1",0.795,27.1822473,23.85,3.3322473,3.01926567244524
"Butler","Midwest","R32",0.66939449,"9",0.228,6.6939449,2.28,4.4139449,2.9546703952236
"Michigan State","Midwest","title",0.08906482,"2",0.037,56.1108366,23.31,32.8008366,2.92140060762841
"Kentucky","East","R4",0.15916753,"4",0.041,23.8751295,6.15,17.7251295,2.82126508144514
"Virginia","Midwest","NCG",0.17230512,"1",0.121,53.4145872,37.51,15.9045872,2.74044180604646
"Wichita St.","South","R16",0.31682301,"11",0.039,9.5046903,1.17,8.3346903,2.6406216682638
"Kentucky","East","R8",0.25196916,"4",0.105,17.6378412,7.35,10.2878412,2.59221870537739
"Oklahoma","West","R16",0.82132961,"2",0.717,24.6398883,21.51,3.1298883,2.57066993678256
"Purdue","Midwest","R4",0.12956658,"5",0.006,19.434987,0.9,18.534987,2.40151487593446
"Virginia","Midwest","title",0.09786082,"1",0.059,61.6523166,37.17,24.4823166,2.39585957797561
"Oklahoma","West","title",0.06771412,"2",0.012,42.6598956,7.56,35.0998956,2.37675854264587
"Gonzaga","Midwest","R16",0.30534,"11",0.049,9.1602,1.47,7.6902,2.348125668
"West Virginia","East","R8",0.39903223,"3",0.32,27.9322561,22.4,5.5322561,2.2075484885141
"Purdue","Midwest","R32",0.8419116,"5",0.598,8.419116,5.98,2.439116,2.0535200541456
"Kentucky","East","NCG",0.08494926,"4",0.009,26.3342706,2.79,23.5442706,2.00006836470976
"Villanova","South","R4",0.22001319,"2",0.169,33.0019785,25.35,7.6519785,1.68353619959642
"Maryland","South","R16",0.46029038,"5",0.339,13.8087114,10.17,3.6387114,1.67486385301633
"Cincinnati","West","R32",0.60648609,"9",0.336,6.0648609,3.36,2.7048609,1.64046051123488
"Wichita St.","South","R32",0.50451453,"11",0.197,5.0451453,1.97,3.0751453,1.55145548571121
"Wichita St.","South","R8",0.15200108,"11",0.008,10.6400756,0.56,10.0800756,1.53218237768165
"Villanova","South","NCG",0.13091184,"2",0.099,40.5826704,30.69,9.8926704,1.29506768457754
"Baylor","West","R16",0.27071246,"5",0.112,8.1213738,3.36,4.7613738,1.28896321437755
