Team_Id,Team_Name,bbr_match_team
1101,Abilene Chr,abilene-christian
1102,Air Force,air-force
1103,Akron,akron
1104,Alabama,alabama
1105,Alabama A&M,alabama-am
1106,Alabama St,alabama-state
1107,Albany NY,albany
1108,Alcorn St,alcorn-state
1109,Alliant Intl,NA
1110,American Univ,american
1111,Appalachian St,appalachian-state
1112,Arizona,arizona
1113,Arizona St,arizona-state
1114,Ark Little Rock,arkansas-little-rock
1115,Ark Pine Bluff,arkansas-pine-bluff
1116,Arkansas,arkansas
1117,Arkansas St,arkansas-state
1118,Armstrong St,armstrong
1119,Army,army
1120,Auburn,auburn
1121,Augusta,augusta-state
1122,Austin Peay,austin-peay
1123,Ball St,ball-state
1124,Baylor,baylor
1125,Belmont,belmont
1126,Bethune-Cookman,bethune-cookman
1127,Binghamton,binghamton
1128,Birmingham So,birmingham-souther
1129,Boise St,boise-state
1130,Boston College,boston-college
1131,Boston Univ,boston-university
1132,Bowling Green,bowling-green
1133,Bradley,bradley
1134,Brooklyn,brooklyn
1135,Brown,brown
1136,Bryant,bryant
1137,Bucknell,bucknell
1138,Buffalo,buffalo
1139,Butler,butler
1140,BYU,brigham-young
1141,C Michigan,central-michigan
1142,Cal Poly SLO,cal-poly
1143,California,california
1144,Campbell,campbell
1145,Canisius,canisius
1146,Cent Arkansas,central-arkansas
1147,Centenary,centenary-la
1148,Central Conn,central-florida
1149,Charleston So,charleston-southern
1150,Charlotte,charlotte
1151,Chattanooga,chattanooga
1152,Chicago St,chicago-state
1153,Cincinnati,cincinnati
1154,Citadel,citadel
1155,Clemson,clemson
1156,Cleveland St,cleveland-state
1157,Coastal Car,coastal-carolina
1158,Col Charleston,college-of-charleston
1159,Colgate,colgate
1160,Colorado,colorado
1161,Colorado St,colorado-state
1162,Columbia,columbia
1163,Connecticut,connecticut
1164,Coppin St,coppin-state
1165,Cornell,cornell
1166,Creighton,creighton
1167,CS Bakersfield,cal-state-bakersfield
1168,CS Fullerton,cal-state-fullerton
1169,CS Northridge,cal-state-northridge
1170,CS Sacramento,cal-state-sacramento
1171,Dartmouth,dartmouth
1172,Davidson,davidson
1173,Dayton,dayton
1174,Delaware,delaware
1175,Delaware St,delaware-state
1176,Denver,denver
1177,DePaul,depaul
1178,Detroit,detroit
1179,Drake,drake
1180,Drexel,drexel
1181,Duke,duke
1182,Duquesne,duquesne
1183,E Illinois,eastern-illinois
1184,E Kentucky,eastern-kentucky
1185,E Michigan,eastern-michigan
1186,E Washington,eastern-washington
1187,East Carolina,east-carolina
1188,Edwardsville,edwardsville
1189,Elon,elon
1190,ETSU,NA
1191,Evansville,evansville
1192,F Dickinson,fairleigh-dickinson
1193,Fairfield,fairfield
1194,FL Atlantic,florida-atlantic
1195,FL Gulf Coast,florida-gulf-coast
1196,Florida,florida
1197,Florida A&M,florida-am
1198,Florida Intl,florida-international
1199,Florida St,florida-state
1200,Fordham,fordham
1201,Fresno St,fresno-state
1202,Furman,furman
1203,G Washington,george-washington
1204,Ga Southern,georgia-southern
1205,Gardner Webb,gardner-webb
1206,George Mason,george-mason
1207,Georgetown,georgetown
1208,Georgia,georgia
1209,Georgia St,georgia-state
1210,Georgia Tech,georgia-tech
1211,Gonzaga,gonzaga
1212,Grambling,grambling
1213,Grand Canyon,grand-canyon
1214,Hampton,hampton
1215,Hardin-Simmons,hardin-simmons
1216,Hartford,hartford
1217,Harvard,harvard
1218,Hawaii,hawaii
1219,High Point,high-point
1220,Hofstra,hofstra
1221,Holy Cross,holy-cross
1222,Houston,houston
1223,Houston Bap,houston-baptist
1224,Howard,howard
1225,Idaho,idaho
1226,Idaho St,idaho-state
1227,IL Chicago,illinois-chicago
1228,Illinois,illinois
1229,Illinois St,illinois-state
1230,Incarnate Word,incarnate-word
1231,Indiana,indiana
1232,Indiana St,indiana-state
1233,Iona,iona
1234,Iowa,iowa
1235,Iowa St,iowa-state
1236,IPFW,ipfw
1237,IUPUI,iupui
1238,Jackson St,jackson-state
1239,Jacksonville,jacksonville
1240,Jacksonville St,jacksonville-state
1241,James Madison,james-madison
1242,Kansas,kansas
1243,Kansas St,kansas-state
1244,Kennesaw,kennesaw
1245,Kent,kent
1246,Kentucky,kentucky
1247,La Salle,la-salle
1248,Lafayette,lafayette
1249,Lamar,lamar
1250,Lehigh,lehigh
1251,Liberty,liberty
1252,Lipscomb,lipscomb
1253,Long Beach St,long-beach-state
1254,Long Island,long-island
1255,Longwood,longwood
1256,Louisiana Tech,louisiana-tech
1257,Louisville,louisville
1258,Loy Marymount,loyola-marymount
1259,Loyola MD,loyola-md
1260,Loyola-Chicago,loyola-il
1261,LSU,louisiana-state
1262,MA Lowell,massachusetts-lowell
1263,Maine,maine
1264,Manhattan,manhattan
1265,Marist,marist
1266,Marquette,marquette
1267,Marshall,marshall
1268,Maryland,maryland
1269,Massachusetts,massachusetts
1270,McNeese St,mcneese-state
1271,MD E Shore,maryland-eastern-shore
1272,Memphis,memphis
1273,Mercer,mercer
1274,Miami FL,miami-fl
1275,Miami OH,miami-oh
1276,Michigan,michigan
1277,Michigan St,michigan-state
1278,Minnesota,minnesota
1279,Mississippi,mississippi
1280,Mississippi St,mississippi-state
1281,Missouri,missouri
1282,Missouri KC,missouri-kansas-city
1283,Missouri St,missouri-state
1284,Monmouth NJ,monmouth
1285,Montana,montana
1286,Montana St,montana-state
1287,Morehead St,morehead-state
1288,Morgan St,morgan-state
1289,Morris Brown,morris-brown
1290,MS Valley St,mississippi-valley-state
1291,Mt St Mary's,mount-st-marys
1292,MTSU,NA
1293,Murray St,murray-state
1294,N Colorado,northern-colorado
1295,N Dakota St,north-dakota-state
1296,N Illinois,northern-illinois
1297,N Kentucky,northern-kentucky
1298,Navy,navy
1299,NC A&T,north-carolina-at
1300,NC Central,north-carolina-central
1301,NC State,north-carolina-state
1302,NE Illinois,northeastern-illinois
1303,NE Omaha,northeastern-omaha
1304,Nebraska,nebraska
1305,Nevada,nevada
1306,New Hampshire,new-hampshire
1307,New Mexico,new-mexico
1308,New Mexico St,new-mexico-state
1309,New Orleans,new-orleans
1310,Niagara,niagara
1311,Nicholls St,nicholls-state
1312,NJIT,njit
1313,Norfolk St,norfolk-state
1314,North Carolina,north-carolina
1315,North Dakota,north-dakota
1316,North Florida,north-florida
1317,North Texas,north-texas
1318,Northeastern,northeastern
1319,Northern Arizona,northern-arizona
